danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,artist,popularity,year,explicit,genres,outcome
0.8,0.6579999999999999,1,-6.142,0,0.079,0.25,0.0,0.111,0.462,140.042,audio_features,7hxHWCCAIIxFLCzvDgnQHX,spotify:track:7hxHWCCAIIxFLCzvDgnQHX,https://api.spotify.com/v1/tracks/7hxHWCCAIIxFLCzvDgnQHX,https://api.spotify.com/v1/audio-analysis/7hxHWCCAIIxFLCzvDgnQHX,195429,4,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,90,2020,True,pop rap,0
0.759,0.5479999999999999,9,-6.0489999999999995,0,0.028999999999999998,0.0392,0.0,0.0828,0.7490000000000001,116.96700000000001,audio_features,6v3KW9xbzN5yKLt9YKDYA2,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,https://api.spotify.com/v1/tracks/6v3KW9xbzN5yKLt9YKDYA2,https://api.spotify.com/v1/audio-analysis/6v3KW9xbzN5yKLt9YKDYA2,190800,4,Señorita,Shawn Mendes,82,2019,False,canadian pop,0
0.765,0.523,2,-4.333,1,0.03,0.184,3.5600000000000005e-05,0.132,0.39399999999999996,104.988,audio_features,1rfofaqEpACxVEHIZBJe6W,spotify:track:1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W,217307,4,Havana (feat. Young Thug),Camila Cabello,81,2018,False,dance pop,0
0.7240000000000001,0.491,8,-6.024,1,0.0296,0.018000000000000002,1.29e-05,0.0887,0.38299999999999995,105.046,audio_features,3yOlyBJuViE2YSGn3nVE1K,spotify:track:3yOlyBJuViE2YSGn3nVE1K,https://api.spotify.com/v1/tracks/3yOlyBJuViE2YSGn3nVE1K,https://api.spotify.com/v1/audio-analysis/3yOlyBJuViE2YSGn3nVE1K,170746,4,My Oh My (feat. DaBaby),Camila Cabello,81,2019,False,dance pop,0
0.8440000000000001,0.6509999999999999,0,-9.162,0,0.23,0.6729999999999999,7.08e-05,0.174,0.795,138.03799999999998,audio_features,3AwXhQWatI5b1sLIhsnOdP,spotify:track:3AwXhQWatI5b1sLIhsnOdP,https://api.spotify.com/v1/tracks/3AwXhQWatI5b1sLIhsnOdP,https://api.spotify.com/v1/audio-analysis/3AwXhQWatI5b1sLIhsnOdP,186593,4,Avant la douane,Jul,61,2016,True,francoton,0
0.95,0.6659999999999999,4,-5.138999999999999,0,0.0792,0.73,2.44e-06,0.0904,0.732,110.93,audio_features,6bXd0YhKLCTvlLVc4tErH9,spotify:track:6bXd0YhKLCTvlLVc4tErH9,https://api.spotify.com/v1/tracks/6bXd0YhKLCTvlLVc4tErH9,https://api.spotify.com/v1/audio-analysis/6bXd0YhKLCTvlLVc4tErH9,194868,4,Tchikita,Jul,57,2016,False,francoton,0
0.97,0.8059999999999999,8,-5.627999999999999,0,0.298,0.0955,0.0,0.133,0.815,120.00299999999999,audio_features,6wdI9sg2VdgjqSg0ozu9PK,spotify:track:6wdI9sg2VdgjqSg0ozu9PK,https://api.spotify.com/v1/tracks/6wdI9sg2VdgjqSg0ozu9PK,https://api.spotify.com/v1/audio-analysis/6wdI9sg2VdgjqSg0ozu9PK,140078,4,Afro Trap Pt. 7 (La puissance),MHD,63,2016,False,francoton,0
0.83,0.765,7,-4.205,0,0.10099999999999999,0.0232,0.0159,0.0754,0.36700000000000005,102.02799999999999,audio_features,3up1uPuvL5vkfJ6aOeSRtD,spotify:track:3up1uPuvL5vkfJ6aOeSRtD,https://api.spotify.com/v1/tracks/3up1uPuvL5vkfJ6aOeSRtD,https://api.spotify.com/v1/audio-analysis/3up1uPuvL5vkfJ6aOeSRtD,188040,4,Loin (feat. Dany Synthé & soFLY & Nius) - Pilule violette,GIMS,60,2016,False,francoton,0
0.7290000000000001,0.679,2,-5.456,0,0.0568,0.0822,0.0,0.1,0.75,108.964,audio_features,4fwtP5khM1iEoa6BP1QQsX,spotify:track:4fwtP5khM1iEoa6BP1QQsX,https://api.spotify.com/v1/tracks/4fwtP5khM1iEoa6BP1QQsX,https://api.spotify.com/v1/audio-analysis/4fwtP5khM1iEoa6BP1QQsX,235022,4,Chocolat (feat. Awa Imani),Lartiste,60,2016,False,francoton,0
0.7070000000000001,0.7979999999999999,11,-6.164,1,0.295,0.21100000000000002,0.008020000000000001,0.0775,0.855,189.9,audio_features,6o3MUAimUATo8ozF1N6fOs,spotify:track:6o3MUAimUATo8ozF1N6fOs,https://api.spotify.com/v1/tracks/6o3MUAimUATo8ozF1N6fOs,https://api.spotify.com/v1/audio-analysis/6o3MUAimUATo8ozF1N6fOs,200493,4,Vibes,Hamza,52,2017,True,belgian hip hop,0
